table_code;table_name;domain_subdomain;domain;subdomain
zo0004rs;Foreign trade by countries, continents and economic groupings;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0005ms;Seasonally adjusted foreign trade data;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0006ms;Foreign trade by Sections SITC Rev. 4;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0007ms;Foreign Trade by Broad Economic Categories (BEC Rev. 4);Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0009ms;Foreign Trade by the Classes (CPA 2.1);Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0010ms;Foreign trade by Chapters in Harmonised System;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0011ms;Foreign trade by countries, continents and economic groupings;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0012ms;Foreign trade by Sections in Harmonized system;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0013rs;Foreign Trade by Broad Economic Categories;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0014rs;Foreign trade with selected Countries by Sections SITC Rev. 4;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0015rs;Foreign trade by Chapters in Harmonised System;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0016rs;Foreign trade by Sections SITC Rev. 4;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0017rs;Foreign Trade by the Classes of CPA;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0018ms;Foreign trade with selected Countries by Sections SITC Rev. 4;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0019rs;Foreign trade by Divisions of SITC, Rev. 4;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo1824ms;Foreign trade by countries and subheadings of the Combined Nomenclature (CN8) for 2022 by months;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo1825ms;Foreign trade by countries and subheadings of the Combined Nomenclature (CN8) for 2023 by months;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo2008rs;Commodity Structure by Sections of the Nomenclature SITC Rev. 4;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo2009rs;Commodity Structure by the Classes of CPA;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zp1001rs;Pesticides - pesticides placing on the market;Environment - Environment;Environment;Environment
zp1002rs;Air Emissions Accounts;Environment - Environment;Environment;Environment
zp1003rs;Material Flow Accounts - domestic extraction;Environment - Environment;Environment;Environment
zp1004rs;Material Flow Accounts - Import end Export;Environment - Environment;Environment;Environment
zp1005rs;Municipal waste and small construction waste from municipalities according to the waste treatment categories (in Tonnes);Environment - Environment;Environment;Environment
zp1006rs;Expenditures and revenues in environmental protection;Environment - Environment;Environment;Environment
zp1007rs;Environmentally related taxes;Environment - Environment;Environment;Environment
zp1009rs;Share of energy tax revenues by the paying sectors;Environment - Environment;Environment;Environment
zp1801rs;Quantity of generated waste;Environment - Environment;Environment;Environment
zp1802rs;Quantity of recovered and disposed waste;Environment - Environment;Environment;Environment
zp2001rs;Preserved territories in Slovak Republic;Environment - Environment;Environment;Environment
zp3001rr;Quantity of municipal waste according to the waste subgroup (in Tonnes);Environment - Environment;Environment;Environment
zp3003rr;Emissions of basic pollutants;Environment - Environment;Environment;Environment
zp3701rr;Environment - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
zp3803rs;Emissions of basic pollutants;Environment - Environment;Environment;Environment
zp5003rr;Climatic conditions;Environment - Environment;Environment;Environment
